width,atoms,Nearest neighbor,Total elapsed time
1,150,31.157055155999842,31.15967663399897
1,1000,267.3698885350004,267.40798187899964
1,750,151.18950485799905,151.19267880799998
1,200,11.893899599999713,11.91855600100098
1,500,66.73889530400083,66.74150117499994
1,300,21.828650303999893,21.854722191999826
1,350,29.752473812999597,29.753606485001
1,400,40.8083394009991,40.80942498500008
1,100,13.226334136999867,13.227404090999698
1,450,51.59700262399929,51.59797349999826
1,250,16.69969566799955,16.70083891699869
2,1400,823.2946097170025,823.2959785190033
2,1800,1273.5075418899978,1273.5094023290003
2,1000,376.156813769001,376.1584554709989
2,800,230.25059918700208,230.25185287599743
2,1200,543.390485205,543.391854321002
2,3000,3924.0027015279993,3924.003984934003
2,2000,1629.6904242769997,1629.6919755889976
2,400,135.17424111499713,135.1756799470022
2,1600,1005.7681802049992,1005.769502354
2,600,305.8380434589999,305.83948473299824
