atoms,bins,Bin sort,Nearest neighbor,Total elapsed time
50000,1000,0.7742342730052769,2.9379825689829886,4.185412252321839
50,1,0.030708926264196634,0.3565563950687647,0.38934479001909494
400,8,0.2211354780010879,1.287204966880381,1.5127567597664893
1350,27,0.735054780729115,3.975870864931494,4.722959929611534
3200,64,0.7407329617999494,2.998205075506121,3.7658025990240276
6250,125,0.7600492220371962,3.0289936447516084,3.840047855861485
10800,216,0.7838360420428216,3.0105168353766203,3.882360707037151
17150,343,0.7782592256553471,2.890931404661387,3.8230992509052157
50000,1000,0.8056194991804659,3.0846957424655557,4.5961280930787325
50,1,0.027205465827137232,0.3283498249948025,0.35767913702875376
50000,1000,0.7827703272923827,2.9799685147590935,4.285468615125865
50000,1000,0.7687748884782195,3.024740347173065,4.353336113039404
50,1,0.02791939163580537,0.3241102802567184,0.3533542328514159
50,1,0.0274204364977777,0.33382497960701585,0.3625287408940494
400,8,0.2001077774912119,1.2348168124444783,1.4393838667310774
400,8,0.2004740759730339,1.2222476080060005,1.4264709688723087
400,8,0.200058167334646,1.2173957130871713,1.4213293637149036
1350,27,0.7004369809292257,3.9085530545562506,4.620742638129741
1350,27,0.7047336264513433,3.893248417414725,4.609079969581217
1350,27,0.7046503340825438,3.9251729482784867,4.6414619432762265
3200,64,0.7021873709745705,2.975048406049609,3.7030856218189
3200,64,0.7009016401134431,2.9126909393817186,3.638305375352502
3200,64,0.6978780259378254,2.982958447188139,3.706113673746586
6250,125,0.7085043136030436,3.0144453127868474,3.770625859964639
6250,125,0.7081300285644829,2.933107108809054,3.6878837691619992
6250,125,0.7047602916136384,3.007506938185543,3.760027154814452
10800,216,0.714413505513221,2.9702747110277414,3.7646985459141433
10800,216,0.7074670032598078,2.8752421839162707,3.661361707840115
10800,216,0.7049736296758056,2.970765495672822,3.7591611188836396
17150,343,0.7058263048529625,2.8659743946045637,3.715617386624217
17150,343,0.7023021341301501,2.789077808149159,3.6338801509700716
17150,343,0.6957639632746577,2.8761591417714953,3.722074461169541
