atoms,Nearest neighbor,Total elapsed time
50000,103.37792304251343,103.41690329601988
50,0.3521202211268246,0.3536398848518729
400,1.2973746261559427,1.2981509948149323
1350,1.8815253842622042,1.8824819130823016
3200,5.275910584721714,5.277588824275881
6250,11.018663318362087,11.03428232204169
10800,20.10119444038719,20.104337021242827
17150,33.06497620232403,33.06973157823086
50000,107.47832422796637,107.51158612919971
50,0.35209849616512656,0.35374773712828755
50000,108.85176058998331,108.88470135815442
50,0.34545981092378497,0.3462248179130256
50000,109.81637770682573,109.84763861773536
400,1.3022425067611039,1.3031979561783373
50,0.3579683448188007,0.35868221521377563
400,1.268333206884563,1.268999039195478
400,1.290583064313978,1.2912332299165428
1350,1.91285852342844,1.9139578361064196
1350,1.9365144297480583,1.9374010907486081
1350,1.977535360492766,1.9784634639509022
3200,5.349876371212304,5.351671177893877
3200,5.337491912767291,5.339015081059188
3200,5.4591278550215065,5.460695024114102
6250,11.123549016658217,11.12592591298744
6250,11.162599200382829,11.164687646087259
6250,11.366793615277857,11.369007787667215
10800,20.254550104495138,20.274011597037315
10800,20.184967782348394,20.204386794939637
10800,20.767245742492378,20.785952934995294
17150,33.64593503670767,33.65092389378697
17150,33.299662420060486,33.30421869875863
17150,34.42203737841919,34.426312257070094
