width,atoms,bins,Bin sort,Nearest neighbor,Total elapsed time
1,5000,100,0.2392240185290575,,1.577721143141389
1,50,1,0.027499571442604065,,0.36372908018529415
1,11250,225,0.2281063199043274,,1.5999401807785034
1,20000,400,0.2428808081895113,,1.7154845166951418
1,200,4,0.10673239082098007,,0.8842701241374016
1,450,9,0.24056635051965714,,1.842959651723504
1,800,16,0.2420796286314726,,1.624180207028985
1,1250,25,0.24113012850284576,,1.647157035768032
1,1800,36,0.24404883570969105,,1.5341083891689777
1,2450,49,0.2396520134061575,,1.6250366121530533
1,3200,64,0.23876106180250645,,1.5400652568787336
1,4050,81,0.2324543558061123,,1.633752642199397
2,10000,200,0.4953838363289833,,2.663472892716527
2,100,2,0.05484881065785885,,0.5341771524399519
2,22500,450,0.4806731417775154,,2.6924308482557535
2,40000,800,0.46750886738300323,,2.8078732136636972
2,200,4,0.11005227267742157,,0.8793100621551275
2,900,18,0.4900122545659542,,3.0612507965415716
2,1600,32,0.4742070194333792,,2.5464645493775606
2,2500,50,0.4848369527608156,,2.5731367878615856
2,3600,72,0.4848329499363899,,2.6149069871753454
2,4900,98,0.4947614949196577,,2.6866847686469555
2,6400,128,0.49981931783258915,,2.6397516690194607
2,8100,162,0.4871561527252197,,2.6762846503406763
1,5000,100,0.23982241516932845,,1.5677337069064379
1,50,1,0.030079174786806107,,0.3781792288646102
1,11250,225,0.23481161566451192,,1.6190618802793324
1,20000,400,0.2536798631772399,,1.725339808035642
1,200,4,0.1109564178623259,,0.8815068318508565
1,450,9,0.2535727876238525,,1.8668397502042353
1,800,16,0.2546030804514885,,1.6294027459807694
1,1250,25,0.24384831683710217,,1.6535399621352553
1,1800,36,0.24429474119096994,,1.5430931970477104
1,2450,49,0.24321814719587564,,1.64696295093745
1,3200,64,0.24211044469848275,,1.5622584368102252
1,4050,81,0.25313274981454015,,1.656659440137446
2,10000,200,0.4992994340136647,,2.6762802111916244
2,100,2,0.05835032416507602,,0.5545688979327679
2,22500,450,0.4845249569043517,,2.6951310709118843
2,40000,800,0.48042446840554476,,2.8128775130026042
2,200,4,0.10960272466763854,,0.8883969481103122
2,900,18,0.4898104928433895,,3.0821212506853044
2,1600,32,0.48591178469359875,,2.5887928078882396
2,2500,50,0.4935859381221235,,2.573352894745767
2,3600,72,0.4960866244509816,,2.6372106331400573
2,4900,98,0.505405864212662,,2.699247728101909
2,6400,128,0.5081014833413064,,2.6478235330432653
2,8100,162,0.4970321115106344,,2.6634176946245134
1,5000,100,0.3442102884873748,,2.1238390831276774
1,50,1,0.02932831086218357,,0.37524484703317285
1,11250,225,0.2102548317052424,,1.453835504129529
1,20000,400,0.21913231583312154,,1.5258347280323505
1,200,4,0.09453711472451687,,0.7905247421003878
1,450,9,0.21404436603188515,,1.6541263200342655
1,800,16,0.21217173896729946,,1.4355656374245882
1,1250,25,0.21200100285932422,,1.4717262471094728
1,1800,36,0.2079348275437951,,1.3531837472692132
1,2450,49,0.2129638190381229,,1.4648051359690726
1,3200,64,0.21005295123904943,,1.3838929957710207
1,4050,81,0.21222981857135892,,1.4642552323639393
2,10000,200,0.4411456463858485,,2.380900369025767
2,100,2,0.04939770745113492,,0.49583215406164527
2,22500,450,0.43378871073946357,,2.39652133686468
2,40000,800,0.42203554045408964,,2.509412467945367
2,200,4,0.097162124235183,,0.7887132088653743
2,900,18,0.4325469941832125,,2.748981730081141
2,1600,32,0.43160385405644774,,2.29314924729988
2,2500,50,0.43578429194167256,,2.285615745931864
2,3600,72,0.432443761266768,,2.334169370122254
2,4900,98,0.4394310936331749,,2.395779245067388
2,6400,128,0.4400274003855884,,2.3412042232230306
2,8100,162,0.435181996319443,,2.3606822001747787
1,5000,100,0.2780573279596865,,1.8009427851065993
1,50,1,0.02870601462200284,,0.3669821438379586
1,11250,225,0.22846626723185182,,1.611200263723731
1,20000,400,0.2422222252935171,,1.7101607327349484
1,200,4,0.10378401493653655,,0.8778517907485366
1,450,9,0.23643468553200364,,1.8600403438322246
1,800,16,0.23413689248263836,,1.6127893794327974
1,1250,25,0.23191394889727235,,1.6501545989885926
1,1800,36,0.22789748338982463,,1.5221285982988775
1,2450,49,0.23340261867269874,,1.6393730761483312
1,3200,64,0.22954984847456217,,1.547717496752739
1,4050,81,0.23258174443617463,,1.6473980234004557
2,10000,200,0.43884611083194613,,2.3963678292930126
2,100,2,0.050478097051382065,,0.4850093708373606
2,22500,450,0.43302915478125215,,2.4155678967945278
2,40000,800,0.4270233493298292,,2.521259688772261
2,200,4,0.09595228778198361,,0.7873202906921506
2,900,18,0.43883456848561764,,2.7795623848214746
2,1600,32,0.4349671839736402,,2.317195564042777
2,2500,50,0.437342313118279,,2.307924611028284
2,3600,72,0.43521691067144275,,2.350761676672846
2,4900,98,0.4520110748708248,,2.4247081433422863
2,6400,128,0.43852172140032053,,2.3597037764266133
2,8100,162,0.4375904477201402,,2.365300183650106
